"","X1","X2","X3","X4","X5"
"1",-8,0,0,0,0
"2",-7.984,2.78339861775247e-22,7.67326004725542e-13,1.1544837136702e-09,3.28910323247765e-08
"3",-7.968,5.56679723550496e-22,1.53465200945109e-12,2.3089674273404e-09,6.57820646495532e-08
"4",-7.952,8.35019585325745e-22,2.30197801417663e-12,3.4634511410106e-09,9.86730969743299e-08
"5",-7.936,1.11335944710099e-21,3.06930401890218e-12,4.6179348546808e-09,1.31564129299107e-07
"6",-7.92,1.39169930887624e-21,3.83663002362772e-12,5.772418568351e-09,1.64455161623883e-07
"7",-7.904,1.79615430281001e-21,4.79050801461744e-12,7.15671693877382e-09,2.03392519985424e-07
"8",-7.888,2.20060929674378e-21,5.74438600560716e-12,8.54101530919664e-09,2.42329878346965e-07
"9",-7.872,2.60506429067755e-21,6.69826399659688e-12,9.92531367961947e-09,2.81267236708505e-07
"10",-7.856,3.00951928461131e-21,7.6521419875866e-12,1.13096120500423e-08,3.20204595070046e-07
"11",-7.84,3.41397427854509e-21,8.60601997857633e-12,1.26939104204651e-08,3.59141953431587e-07
"12",-7.824,4.07653829915971e-21,9.84279372508901e-12,1.43814051006397e-08,4.05540778005345e-07
"13",-7.808,4.73910231977434e-21,1.10795674716017e-11,1.60688997808143e-08,4.51939602579103e-07
"14",-7.792,5.40166634038897e-21,1.23163412181144e-11,1.77563944609889e-08,4.98338427152862e-07
"15",-7.776,6.0642303610036e-21,1.35531149646271e-11,1.94438891411636e-08,5.4473725172662e-07
"16",-7.76,6.72679438161824e-21,1.47898887111398e-11,2.11313838213382e-08,5.91136076300379e-07
"17",-7.744,7.871681982742e-21,1.64406228061474e-11,2.321469117724e-08,6.46709766371814e-07
"18",-7.728,9.01656958386577e-21,1.8091356901155e-11,2.52979985331419e-08,7.02283456443248e-07
"19",-7.712,1.01614571849895e-20,1.97420909961626e-11,2.73813058890437e-08,7.57857146514683e-07
"20",-7.696,1.13063447861133e-20,2.13928250911702e-11,2.94646132449456e-08,8.13430836586119e-07
"21",-7.68,1.24512323872371e-20,2.30435591861778e-11,3.15479206008474e-08,8.69004526657554e-07
"22",-7.664,1.44700946787621e-20,2.52879798723745e-11,3.41439400653735e-08,9.35824000373261e-07
"23",-7.648,1.64889569702872e-20,2.75324005585714e-11,3.67399595298997e-08,1.00264347408897e-06
"24",-7.632,1.85078192618122e-20,2.97768212447682e-11,3.93359789944258e-08,1.06946294780468e-06
"25",-7.616,2.05266815533373e-20,3.2021241930965e-11,4.1931998458952e-08,1.13628242152039e-06
"26",-7.6,2.25455438448623e-20,3.42656626171619e-11,4.45280179234782e-08,1.20310189523609e-06
"27",-7.584,2.61292178928283e-20,3.7351289454925e-11,4.77842347271954e-08,1.28366577139664e-06
